"filename", "language", "JavaScript JSX", "SCSS", "JavaScript", "CSS", "XML", "JSON", "HTML", "JSON with Comments", "Markdown", "comment", "blank", "total"
"/Users/vivek/WebstormProjects/react-movie/src/pages/Profile.jsx", "JavaScript JSX", 110, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13, 125
"/Users/vivek/WebstormProjects/react-movie/src/pages/Register.jsx", "JavaScript JSX", 57, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 63
"/Users/vivek/WebstormProjects/react-movie/src/pages/WatchListCreate.jsx", "JavaScript JSX", 129, 0, 0, 0, 0, 0, 0, 0, 0, 10, 18, 157
"/Users/vivek/WebstormProjects/react-movie/src/pages/WatchListSingle.jsx", "JavaScript JSX", 70, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10, 81
"/Users/vivek/WebstormProjects/react-movie/src/pages/WatchlistList.jsx", "JavaScript JSX", 49, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10, 60
"/Users/vivek/WebstormProjects/react-movie/src/pages/detail/CastList.jsx", "JavaScript JSX", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 36
"/Users/vivek/WebstormProjects/react-movie/src/pages/detail/Detail.jsx", "JavaScript JSX", 147, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15, 164
"/Users/vivek/WebstormProjects/react-movie/src/pages/detail/VideoList.jsx", "JavaScript JSX", 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 59
"/Users/vivek/WebstormProjects/react-movie/src/pages/detail/detail.scss", "SCSS", 0, 98, 0, 0, 0, 0, 0, 0, 0, 0, 19, 117
"/Users/vivek/WebstormProjects/react-movie/src/scss/_breakpoint.scss", "SCSS", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"/Users/vivek/WebstormProjects/react-movie/src/scss/_index.scss", "SCSS", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/vivek/WebstormProjects/react-movie/src/scss/_mixin.scss", "SCSS", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"/Users/vivek/WebstormProjects/react-movie/src/scss/_variables.scss", "SCSS", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 6, 18
"/Users/vivek/WebstormProjects/react-movie/tailwind.config.js", "JavaScript", 0, 0, 61, 0, 0, 0, 0, 0, 0, 1, 0, 62
"Total", "-", 1579, 1164, 232, 5409, 1947, 24792, 20, 7, 14, 68, 665, 35897
